study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_platform	library_source	fastq_ftp	submitted_ftp	sample_alias	first_created
PRJEB12982	SAMEA3892004	ERS1079138	ERX1512938	ERR1442561	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442561/ERR1442561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442561/19850_1#1.cram	70f86070-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892005	ERS1079139	ERX1512939	ERR1442562	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442562/ERR1442562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442562/19850_1#2.cram	7107f0d0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892006	ERS1079140	ERX1512940	ERR1442563	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442563/ERR1442563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442563/19850_1#3.cram	7113fec0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892007	ERS1079141	ERX1512941	ERR1442564	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442564/ERR1442564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442564/19850_1#4.cram	71200cb0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892008	ERS1079142	ERX1512942	ERR1442565	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442565/ERR1442565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442565/19850_1#5.cram	712bf390-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892009	ERS1079143	ERX1512943	ERR1442566	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442566/ERR1442566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442566/19850_1#6.cram	7137da70-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892010	ERS1079144	ERX1512944	ERR1442567	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442567/ERR1442567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442567/19850_1#7.cram	7143c150-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892011	ERS1079145	ERX1512945	ERR1442568	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442568/ERR1442568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442568/19850_1#8.cram	714fa830-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892012	ERS1079146	ERX1512946	ERR1442569	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442569/ERR1442569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442569/19850_1#9.cram	715bdd30-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892013	ERS1079147	ERX1512947	ERR1442570	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442570/ERR1442570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442570/19850_1#10.cram	7167eb20-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892014	ERS1079148	ERX1512948	ERR1442571	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442571/ERR1442571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442571/19850_1#11.cram	7173d200-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892015	ERS1079149	ERX1512949	ERR1442572	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442572/ERR1442572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442572/19850_1#12.cram	717fb8e0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892016	ERS1079150	ERX1512950	ERR1442573	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442573/ERR1442573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442573/19850_1#13.cram	718b78b0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892017	ERS1079151	ERX1512951	ERR1442574	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442574/ERR1442574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442574/19850_1#14.cram	719786a0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892018	ERS1079152	ERX1512952	ERR1442575	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442575/ERR1442575_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442575/19850_1#15.cram	71a39490-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892019	ERS1079153	ERX1512953	ERR1442576	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442576/ERR1442576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442576/19850_1#16.cram	71afa280-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892020	ERS1079154	ERX1512954	ERR1442577	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442577/ERR1442577_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442577/19850_1#17.cram	71bbd780-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892021	ERS1079155	ERX1512955	ERR1442578	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442578/ERR1442578_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442578/19850_1#18.cram	71c83390-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892023	ERS1079157	ERX1512956	ERR1442579	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442579/ERR1442579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442579/19850_1#19.cram	71d48fa0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892024	ERS1079158	ERX1512957	ERR1442580	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442580/ERR1442580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442580/19850_1#20.cram	71e09d90-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892025	ERS1079159	ERX1512958	ERR1442581	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442581/ERR1442581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442581/19850_1#21.cram	71ec8470-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892026	ERS1079160	ERX1512959	ERR1442582	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442582/ERR1442582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442582/19850_1#22.cram	71f8e080-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892028	ERS1079162	ERX1512960	ERR1442583	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442583/ERR1442583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442583/19850_1#23.cram	7204c760-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892029	ERS1079163	ERX1512961	ERR1442584	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442584/ERR1442584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442584/19850_1#24.cram	72108730-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892030	ERS1079164	ERX1512962	ERR1442585	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442585/ERR1442585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442585/19850_1#25.cram	721c4700-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892031	ERS1079165	ERX1512963	ERR1442586	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442586/ERR1442586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442586/19850_1#26.cram	72282de0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892032	ERS1079166	ERX1512964	ERR1442587	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442587/ERR1442587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442587/19850_1#27.cram	723414c0-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892034	ERS1079168	ERX1512965	ERR1442588	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442588/ERR1442588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442588/ERR1442588_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442588/19850_1#28.cram	723fd490-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892035	ERS1079169	ERX1512966	ERR1442589	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442589/ERR1442589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442589/ERR1442589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442589/19850_1#29.cram	724b9460-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
PRJEB12982	SAMEA3892036	ERS1079170	ERX1512967	ERR1442590	Danio rerio	ILLUMINA	TRANSCRIPTOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442590/ERR1442590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442590/ERR1442590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR144/ERR1442590/19850_1#30.cram	72575430-e60c-11e5-bc69-3c4a9275d6c6	2016-06-06
